date,close
2018/1/25,4.0329
2018/1/26,4.0533
2018/1/29,3.9765
2018/1/30,3.9359
2018/1/31,3.9479
2018/2/1,3.9201
2018/2/2,3.9442
2018/2/5,3.9405
2018/2/6,3.8296
2018/2/7,3.739
2018/2/8,3.7085
2018/2/9,3.5375
2018/2/12,3.5883
2018/2/13,3.6318
2018/2/14,3.6641
2018/2/22,3.7399
2018/2/23,3.7602
2018/2/26,3.8083
2018/2/27,3.7538
2018/2/28,3.7159
2018/3/1,3.7427
2018/3/2,3.7177
2018/3/5,3.7094
2018/3/6,3.7649
2018/3/7,3.7344
2018/3/8,3.7723
2018/3/9,3.8
2018/3/12,3.8111
2018/3/13,3.7704
2018/3/14,3.7575
2018/3/15,3.7852
2018/3/16,3.7436
2018/3/19,3.7639
2018/3/20,3.7621
2018/3/21,3.7427
2018/3/22,3.7094
2018/3/23,3.5994
2018/3/26,3.5828
2018/3/27,3.6151
2018/3/28,3.5421
2018/3/29,3.6068
2018/3/30,3.6012
2018/4/2,3.5892
2018/4/3,3.5661
2018/4/4,3.5569
2018/4/9,3.5615
2018/4/10,3.6308
2018/4/11,3.6354
2018/4/12,3.5976
2018/4/13,3.5726
2018/4/16,3.5162
2018/4/17,3.4644
2018/4/18,3.4718
2018/4/19,3.5208
2018/4/20,3.4663
2018/4/23,3.4811
2018/4/24,3.5541
2018/4/25,3.5328
2018/4/26,3.4626
2018/4/27,3.47
2018/5/2,3.4811
2018/5/3,3.5014
2018/5/4,3.4848
2018/5/7,3.5412
2018/5/8,3.5874
2018/5/9,3.5772
2018/5/10,3.6012
2018/5/11,3.58
2018/5/14,3.6114
2018/5/15,3.6253
2018/5/16,3.5957
2018/5/17,3.5652
2018/5/18,3.604
2018/5/21,3.6216
2018/5/22,3.6068
2018/5/23,3.5597
2018/5/24,3.531
2018/5/25,3.5227
2018/5/28,3.5449
2018/5/29,3.5116
2018/5/30,3.445
2018/5/31,3.5153
2018/6/1,3.4913
2018/6/4,3.5255
2018/6/5,3.555
2018/6/6,3.5486
2018/6/7,3.5476
2018/6/8,3.5005
2018/6/11,3.5097
2018/6/12,3.5449
2018/6/13,3.5088
2018/6/14,3.4996
2018/6/15,3.494
2018/6/19,3.3739
2018/6/20,3.3739
2018/6/21,3.3461
2018/6/22,3.3609
2018/6/25,3.3138
2018/6/26,3.2814
2018/6/27,3.2038
2018/6/28,3.1853
2018/6/29,3.2694
2018/7/2,3.1825
2018/7/3,3.1705
2018/7/4,3.1372
2018/7/5,3.1113
2018/7/6,3.1382
2018/7/9,3.2297
2018/7/10,3.238
2018/7/11,3.1844
